trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",25,8,-22.276288529566465,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",25,0,-112.72815861114681,"{0: 13, 1: 6, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",30,0,-209.95254750700406,"{0: 14, 1: 5, 2: 8, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,14,8.578385872652147,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.951229424500714}",25,0,-88.21932608936325,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,6,-65.0659499133563,"{0: 9, 1: 3, 2: 0, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",25,0,-237.8364518139448,"{0: 14, 1: 2, 2: 2, 3: 3, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",25,0,-147.929445202821,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",35,10,-48.21257075286078,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",25,3,-108.17871784893802,"{0: 13, 1: 2, 2: 4, 3: 2, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",25,6,-107.61591973672233,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-55.214977034553215,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",25,0,-79.81918810683436,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",25,0,-145.38994577812375,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",25,0,-93.20034489301318,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",30,0,-212.40616370291582,"{0: 16, 1: 5, 2: 3, 3: 3, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",20,0,-82.71756965177747,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.835270211411272}",25,0,-84.39901062601506,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",35,0,-130.05485777767802,"{0: 25, 1: 2, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,0,-72.81056929543246,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8105842459701871}",25,0,-141.02641709586845,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.8025187979624785}",25,0,-104.34825943081613,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.794533602503334}",20,2,-83.06564865522805,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 1}",1
24,False,"{'a': 0.5, 'e': 0.7866278610665535}",25,18,-21.372210959794344,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.7788007830714049}",20,0,-36.48735464525551,"{0: 12, 1: 6, 2: 2, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.7710515858035663}",25,0,-78.4530870273632,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.7633794943368531}",25,0,-142.7538211617545,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.7557837414557255}",20,0,11.110457242644888,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.7482635675785653}",20,0,-62.99616103395851,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.7408182206817179}",25,14,11.608433615235732,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.7334469562242892}",20,0,-124.49921416792925,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.7261490370736909}",20,0,-218.40071896397288,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 4}",0
33,False,"{'a': 0.5, 'e': 0.7189237334319262}",25,12,-21.591379341384798,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.7117703227626097}",25,0,-57.31199736319491,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.7046880897187134}",20,14,-27.801836327155048,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
36,False,"{'a': 0.5, 'e': 0.697676326071031}",20,0,-55.79279985390927,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.6907343306373547}",20,0,-90.81690280336164,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.6838614092123558}",20,0,-43.24455399258246,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.6770568744981647}",25,0,-166.1650684069781,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
40,False,"{'a': 0.5, 'e': 0.6703200460356393}",25,0,-143.69121794314643,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
