trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-182.92930603691119,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,3,-52.236851812647785,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,4,-101.55573475613339,"{0: 8, 1: 2, 2: 4, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-215.4391902770751,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-29.154129747821987,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-136.3884284837302,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.68696452628225,"{0: 9, 1: 6, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.607095841735,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-25.685301354857305,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-194.15407297305578,"{0: 14, 1: 4, 2: 3, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-162.43235694909197,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,10,-25.421992210306218,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.52031085961238,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,8,-41.73661174742991,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-203.46032527248474,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,16,-78.76887252287003,"{0: 8, 1: 2, 2: 2, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.56547479046586,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.07391407011227,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-185.61839344045856,"{0: 15, 1: 4, 2: 2, 3: 0, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,9,-106.47761598548699,"{0: 5, 1: 2, 2: 2, 3: 0, 4: 2}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-118.40112976906741,"{0: 12, 1: 5, 2: 7, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-166.8505484968796,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,17,-60.88986405258128,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 1}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-32.01179326965588,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-35.09932071879631,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-43.03706909879417,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-167.85204290603198,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,14,-19.257736992545386,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 0}",1
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-196.8260342077243,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-147.74460327171326,"{0: 17, 1: 5, 2: 6, 3: 0, 4: 2}",0
